no,date,season,year,month,day,day_type,weather,temperature,humidity,wind_speed,casual,registered,count
1,2011-01-01,Spring,2011,January,Saturday,Weekend,MistCloud,8.175849,80.58330000000001,0.160446,331,654,985
2,2011-01-02,Spring,2011,January,Sunday,Weekend,MistCloud,9.083466000000001,69.6087,0.248539,131,670,801
3,2011-01-03,Spring,2011,January,Monday,Weekday,Clear,1.229108,43.7273,0.248309,120,1229,1349
4,2011-01-04,Spring,2011,January,Tuesday,Weekday,Clear,1.4000000000000004,59.0435,0.160296,108,1454,1562
5,2011-01-05,Spring,2011,January,Wednesday,Weekday,Clear,2.6669789999999995,43.695699999999995,0.1869,82,1518,1600
6,2011-01-06,Spring,2011,January,Thursday,Weekday,Clear,1.6043559999999992,51.8261,0.0895652,88,1518,1606
7,2011-01-07,Spring,2011,January,Friday,Weekday,MistCloud,1.2365340000000007,49.8696,0.168726,148,1362,1510
8,2011-01-08,Spring,2011,January,Saturday,Weekend,MistCloud,-0.24499999999999922,53.5833,0.266804,68,891,959
9,2011-01-09,Spring,2011,January,Sunday,Weekend,Clear,-1.4983489999999993,43.416700000000006,0.36195,54,768,822
10,2011-01-10,Spring,2011,January,Monday,Weekday,Clear,-0.9108490000000007,48.2917,0.223267,41,1280,1321
11,2011-01-11,Spring,2011,January,Tuesday,Weekday,MistCloud,-0.0527230000000003,68.6364,0.122132,43,1220,1263
12,2011-01-12,Spring,2011,January,Wednesday,Weekday,Clear,0.11816899999999997,59.954499999999996,0.304627,25,1137,1162
13,2011-01-13,Spring,2011,January,Thursday,Weekday,Clear,-0.24499999999999922,47.0417,0.301,38,1368,1406
14,2011-01-14,Spring,2011,January,Friday,Weekday,Clear,-0.43910999999999945,53.7826,0.126548,54,1367,1421
15,2011-01-15,Spring,2011,January,Saturday,Weekend,MistCloud,2.9666510000000006,49.875,0.157963,222,1026,1248
16,2011-01-16,Spring,2011,January,Sunday,Weekend,Clear,2.888349,48.375,0.188433,251,953,1204
17,2011-01-17,Spring,2011,January,Monday,Weekend,MistCloud,0.264151,53.75,0.194017,117,883,1000
18,2011-01-18,Spring,2011,January,Tuesday,Weekday,MistCloud,2.1833489999999998,86.16669999999999,0.146775,9,674,683
19,2011-01-19,Spring,2011,January,Wednesday,Weekday,MistCloud,5.732177999999999,74.1739,0.208317,78,1572,1650
20,2011-01-20,Spring,2011,January,Thursday,Weekday,MistCloud,4.298349,53.833299999999994,0.195904,83,1844,1927
21,2011-01-21,Spring,2011,January,Friday,Weekday,Clear,0.34249999999999936,45.7083,0.353242,75,1468,1543
22,2011-01-22,Spring,2011,January,Saturday,Weekend,Clear,-5.2208711999999995,40.0,0.17197,93,888,981
23,2011-01-23,Spring,2011,January,Sunday,Weekend,Clear,-3.4634801,43.6522,0.2466,150,836,986
24,2011-01-24,Spring,2011,January,Monday,Weekday,Clear,-3.4226089,49.173899999999996,0.15833,86,1330,1416
25,2011-01-25,Spring,2011,January,Tuesday,Weekday,MistCloud,2.5034660000000013,61.695699999999995,0.129796,186,1799,1985
26,2011-01-26,Spring,2011,January,Wednesday,Weekday,LightRainSnow,2.2225,86.25,0.29385,34,472,506
